Complaint ID,Date,Product,Issue,Complaint,Answer,Explanation,Label,Category
5849472,2008/5/22,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation into an existing problem,"Despite multiple written requests, the unverified accounts listed below continue to report on my credit report in violation of federal law. The last letter I sent to the Equifax credit bureau was dated XX/XX/XXXX but I never received a response from them. These accounts must be validated in accordance with Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) ( A ). If you do not validate these accounts, I will take legal action against you. Please follow the law so that this matter can be resolved as soon as possible. XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXXXXXX Date opened XX/XX/XXXX Balance {$9600.00}, XXXX XXXX XXXX XXXXXXXX Date opened XXXX XXXX, XXXX Balance {$12000.00}, and XXXX XXXX XXXXXXXX Date opened XX/XX/XXXX Balance {$0.00}.",Yes,Category 1. The complaint still contains unredacted financial account balances tied to the individual's credit report.,No,
5922763,08/28/22,Checking or savings account,Managing an account,"Hello, I opened a new Citi bank ( Citigroup Inc. ) checking account # XXXX for {$300.00} new checking bonus as I'm eligible per fine prints on XX/XX/2022 and deposited new money {$15000.00} on XX/XX/2022 as screenshot attached. 

On XX/XX/2022, I did receive a welcome email for {$300.00} bonus offer from Citi bank ( Citigroup Inc. ) as screenshot attached because I had followed all the steps to qualify the bonus condition. 

I had kept required minimum balance over {$15000.00} over 60 days per bonus condition until XX/XX/2022 from XX/XX/2022. 

But until today XX/XX/2022 I have not received my bonus {$300.00} yet, which must be deposited to my checking account already per fine prints.",No,The redacted complaint discusses a banking issue and does not contain any of the four types of personal information listed.,No,
5842662,2008/5/22,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"It appears that my credit with you has been compromised. I was going through my records & noticed many files which do not belong to me. Since Im a stickler for research, I found that under section 605b of the FCRA you are required by law to remove & block any account which is found to be opened due to identity theft. The dispute items do not belong to me. Im attaching the required FTC Report # XXXX for you and the bank 's records ( learned through more research both parties require ). Please block/remove these files. If you feel there is a possibility these accounts belong to me I will require all documentation that bears my signature ( another research item I found that requires you to verify with 100 % accuracy that each account is 100 % true, accurate, correct, complete & VERIFIABLE ). This is not a duplicate nor is this complaint being filed by a third party, I am filing this complaint myself. Please see this complaint is processed to the letter of the law. 
If you do not provide any records & claim the item is verified please understand I will seek legal action. I do not take kindly to games nor does my attorney. SO please comply with the law so this matter can be handled swiftly. 

Please remove/block the disputed items as they were opened without my consent or knowledge, pursuant to Section 605B of Fair Credit Reporting XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",Yes,"it contains information from categories 1 and 2.
The complaint mentions ""my attorney,"" indicating legal representation, and describes the complainant as a ""stickler for research,"" which is a character trait.",No,
5905014,08/22/22,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,"I was in the process of applying for new employment and it was brought to my attention that there is some inaccurate information reporting on my credit report.I received a copy of my credit report and to my surprise I saw all these inaccurate items that are not correct. 

By the way I hope that this does not hinder my ability to obtain employment due to this inaccurate information showing. I was advised by a legal friend of mine that under : 15 US Code 1681a section 603 ( k ) ( b ) ( ii ) can be considered an adverse action.

15 U.S.C 1681 section 602 A. States, I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1692C Without the prior consent of the consumer given directly to the debt collector or the express permission of a court of competent jurisdiction, a debt collector may not communicate with a consumer in connection with the collection of any debt. 


XXXX Names : XXXX XXXX Employers : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Addresses : XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXX XXXX XXXX XXXX XXXX, CA XXXXXXXX XXXX : XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXXXXXX Experian Names : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX : XXXX XXXXXXXX XXXX XXXX Addresses : XXXX XXXX XXXX XXXX, CA XXXX XXXX XXXX XXXX XXXX, CA XXXX XXXX : XXXX XXXXXXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Name : XXXX XXXX XXXX Employers XXXX XXXX XXXX XXXX XXXX XXXX XXXX  Addresses : XXXX XXXX XXXX XXXX, CA XXXX XXXX XXXX XXXX XXXX, CA XXXX XXXX XXXX  XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX",No,,No,
5923082,08/27/22,Credit card or prepaid card,Incorrect information on your report,"I recently pulled my credit report and found that here is 2 late payments reporting to my credit report. 

The lates are in XXXX and XXXX and I believe this may be report inaccurate",No,,No,
5931143,08/31/22,Debt collection,Attempts to collect debt not owed,I dont even know when I went to this XXXX and what the treatment was for.,Yes,"Category 4: Medical conditions. The phrase ""what the treatment was for"" directly refers to a medical intervention, implying a medical condition.",No,
5887255,08/17/22,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"Im submitting a complaint to you today to inform you I was the victim of identity theft. This is not a duplicate nor is this complaint being filed by a third party, I am filing this complaint myself. Please see this complaint is processed to the letter of the law. 
I researched on how to remove the fraudulent account in my report and found that I need to visit FEDERAL TRADE COMMISION or https : //www.ftc.gov to file a report and Per FCRA section 605b Credit Reporting Agencies are required to remove/block any accounts listed on an id theft report. Please find the ATTACHED documents to assist in the blocking of the erroneous information which is being posted to my report. 

Here is the list of account/item which do not belong to me or were opened without my permission. 
XXXX XXXX XXXX XXXX XXXX CA XXXX, XXXX XXXX Date Opened : XX/XX/2019 Balance : {$0.00} According to FCRA Section 605B ( a ) the CREDIT REPORTING AGENCIES shall block any information in the file of a consumer that the consumer identifies as information that resulted from an alleged identity theft, not later than XXXX business days after the date of receipt.",No,,No,
5841140,2008/3/22,Credit card or prepaid card,"Other features, terms, or problems","XX/XX/22 - chatted with Amex CSR through their chat function regarding offer of XXXX points to add authorized user ( husband to my account ) for annual fee of {$170.00}. She confirmed the offer and I signed up my husband. 
XX/XX/22 - {$170.00} annual fee was posted to my account No points to date. 

Separate issue : XX/XX/22 - saw offer in my online account to activate Pay Over Time feature for XXXX points and activated. Received email confirmation of activation. 

Numerous attempts to resolve the missing points issue with Amex via chat have been fruitless.",Yes,"2. Physical characteristics or personal descriptors.
The word ""husband"" describes the complainant's marital status, which is a personal descriptor.",No,
5834573,2008/2/22,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"XX/XX/XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, CA, XXXX SSN : XXXX | XXXX : XX/XX/XXXX Equifax/XXXX XXXXXXXX XXXX XXXX XXXX XXXX GA XXXX To Whom It May Concern : I previously wrote you to investigate and verify a bankruptcy listed on my credit report and I received a response that the bankruptcy was verified with the bankruptcy court. 
I contacted the courthouse to verify their information release policy. The court informed me that they do not provide anyone with a debtors full social security number, and they do not provide ANY credit bureau ANY information about ANY bankruptcy cases. I have included a copy of the response from the courthouse for your reference. 
It is quite clear that someone from EquifaxXXXX lied about verifying this bankruptcy with the courthouse. That is a violation of the Fair Credit Reporting Act ( FCRA ). 
As you know, it is also a violation of the FCRA to report inaccurate or unverifiable information on a credit report. Thus, I demand that you IMMEDIATELY REMOVE the following bankruptcy from my credit report : XXXX  XXXX BANKRUPTCY, Docket # XXXX Please respond to me in writing once this removal has been completed. 
Sincerely, XXXX XXXX XXXX XXXX",No,"The complaint, as redacted, does not contain any of the four types of personal information because all identifiable details such as names, social security numbers, and specific dates that could infer age have been fully redacted.",No,
5828979,2008/1/22,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,"In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. 
XXXX XXXX, has violated my rights. 

15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.

15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",No,,No,
